"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Vegetables,,,,,,,,
Leafy Vegetable,,,,,,,,
Gujarat,,,,,,,,
Padra,3,Tonnes,NR,Leafy Vegetables,1000,1250,1100,Rs/Quintal
Haryana,,,,,,,,
Barwala(Hisar),5,Tonnes,NR,Other,400,500,500,Rs/Quintal
Ladwa,0.2,Tonnes,NR,Leafy Vegetables,800,1000,800,Rs/Quintal
Samalkha,0.06,Tonnes,NR,Leafy Vegetables,1900,2000,1950,Rs/Quintal
Shahzadpur,0.1,Tonnes,NR,Leafy Vegetables,600,600,600,Rs/Quintal
Maharashtra,,,,,,,,
Pune(Hadapsar),56,Tonnes,NR,Other,1800,1800,1800,Rs/Quintal
Odisha,,,,,,,,
Betnoti,0.01,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Dhenkanal,0.05,Tonnes,NR,Other,1000,1200,1000,Rs/Quintal
Khariar Road,0.5,Tonnes,NR,Other,2000,2200,2000,Rs/Quintal
Mottagaon,0.04,Tonnes,NR,Other,1000,1200,1000,Rs/Quintal
Punjab,,,,,,,,
Balachaur,0.8,Tonnes,NR,Other,400,600,500,Rs/Quintal
Hoshiarpur(Sham Churasi),0.01,Tonnes,NR,Leafy Vegetables,800,1000,900,Rs/Quintal
Khadur Sahib(Fetehabad),0.95,Tonnes,NR,Other,400,500,450,Rs/Quintal
Patti,0.3,Tonnes,NR,Other,300,350,320,Rs/Quintal
Sangrur,0.2,Tonnes,NR,Leafy Vegetables,500,600,500,Rs/Quintal
Lemon,,,,,,,,
Chandigarh,,,,,,,,
Chandigarh(Grain/Fruit),3.3,Tonnes,NR,Other,2000,4000,3000,Rs/Quintal
Chattisgarh,,,,,,,,
Durg,3,Tonnes,NR,Lemon,1500,2000,1750,Rs/Quintal
Rajnandgaon,2,Tonnes,NR,Lemon,4000,4000,4000,Rs/Quintal
Gujarat,,,,,,,,
Ahmedabad,24.8,Tonnes,NR,Other,1500,2500,2200,Rs/Quintal
Ankleshwar,0.82,Tonnes,NR,Lemon,1900,2600,2350,Rs/Quintal
Bharuch,1.04,Tonnes,NR,Other,2000,2750,2500,Rs/Quintal
Bhavnagar,30,Tonnes,NR,Other,1500,2100,2000,Rs/Quintal
Dahod(Veg. Market),0.18,Tonnes,NR,Other,1200,2000,1700,Rs/Quintal
Damnagar,0.07,Tonnes,NR,Lemon,1400,1600,1500,Rs/Quintal
Dholka(Koth),25,Tonnes,NR,Other,2000,2300,2200,Rs/Quintal
Gondal(Veg.market Gondal),1.3,Tonnes,NR,Other,500,1500,1000,Rs/Quintal
Mansa(Manas Veg Yard),0.01,Tonnes,NR,Other,1000,2000,1500,Rs/Quintal
Mehsana(Mehsana Veg),0.2,Tonnes,NR,Lemon,250,1750,1500,Rs/Quintal
Nadiyad(Piplag),1.8,Tonnes,NR,Lemon,2500,3000,2750,Rs/Quintal
Padra,1.5,Tonnes,NR,Other,2750,3500,3000,Rs/Quintal
Rajkot(Ghee Peeth),4.5,Tonnes,NR,Lemon,1500,2500,2000,Rs/Quintal
Surat,46,Tonnes,NR,Other,1000,3250,2125,Rs/Quintal
Talalagir,0.06,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Vadhvan,0.5,Tonnes,NR,Lemon,1000,1500,1250,Rs/Quintal
Haryana,,,,,,,,
Barara,NR,Tonnes,NR,Other,4000,4500,4000,Rs/Quintal
Gohana,0.5,Tonnes,NR,Other,3500,4000,3500,Rs/Quintal
Jagadhri,0.2,Tonnes,NR,Other,3500,4000,4000,Rs/Quintal
Jhajjar,0.7,Tonnes,NR,Other,5000,6000,6000,Rs/Quintal
Mustafabad,0.2,Tonnes,NR,Other,4000,4200,4000,Rs/Quintal
Naraingarh,0.23,Tonnes,NR,Other,3500,4000,3700,Rs/Quintal
Panipat,0.4,Tonnes,NR,Other,3000,4000,3400,Rs/Quintal
Pataudi,0.1,Tonnes,NR,Other,2500,2500,2500,Rs/Quintal
Pehowa,0.2,Tonnes,NR,Other,1600,1600,1600,Rs/Quintal
Samalkha,0.12,Tonnes,NR,Lemon,4500,5000,4700,Rs/Quintal
Shahabad,0.2,Tonnes,NR,Other,4500,4500,4500,Rs/Quintal
Sonepat,0.3,Tonnes,NR,Other,5000,6000,5000,Rs/Quintal
Himachal Pradesh,,,,,,,,
Bhuntar,0.1,Tonnes,NR,Other,3500,3600,3550,Rs/Quintal
Kangra,0.2,Tonnes,NR,Other,4500,5000,4750,Rs/Quintal
Kangra(Jaisinghpur),0.02,Tonnes,NR,Lemon,6000,6000,6000,Rs/Quintal
Kangra(Jassour),0.4,Tonnes,NR,Other,2000,2500,2250,Rs/Quintal
Kullu,0.2,Tonnes,NR,Other,4000,5500,4500,Rs/Quintal
Palampur,0.2,Tonnes,NR,Other,5500,6000,6000,Rs/Quintal
Solan,0.1,Tonnes,NR,Other,4000,5000,4500,Rs/Quintal
Solan(Nalagarh),0.1,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Jammu and Kashmir,,,,,,,,
Akhnoor,0.5,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Narwal Jammu (F&V),4.5,Tonnes,NR,Other,3000,3500,3150,Rs/Quintal
Samba,0.6,Tonnes,NR,Lemon,3500,4000,3750,Rs/Quintal
Kerala,,,,,,,,
Athirampuzha,0.12,Tonnes,NR,Other,3800,4000,3900,Rs/Quintal
Chala,3,Tonnes,NR,Other,5800,5854,5822,Rs/Quintal
Koduvayoor,0.7,Tonnes,NR,Other,2800,3500,3200,Rs/Quintal
Kondotty,0.2,Tonnes,NR,Other,4800,5000,4900,Rs/Quintal
Madhavapuram,2.5,Tonnes,NR,Other,5800,6200,6000,Rs/Quintal
Neeleswaram,1,Tonnes,NR,Other,6800,7200,7000,Rs/Quintal
Palakkad,1,Tonnes,NR,Other,3600,4500,4100,Rs/Quintal
Parassala,3,Tonnes,NR,Lemon,4800,5000,4800,Rs/Quintal
Pattambi,0.1,Tonnes,NR,Other,5000,6000,5500,Rs/Quintal
Perinthalmanna,2.1,Tonnes,NR,Other,5600,6400,6000,Rs/Quintal
Thalayolaparambu,0.3,Tonnes,NR,Other,5000,5500,5300,Rs/Quintal
Thrippunithura,0.3,Tonnes,NR,Other,6000,7000,6400,Rs/Quintal
Vadakkenchery,0.17,Tonnes,NR,Other,6000,6500,6250,Rs/Quintal
Madhya Pradesh,,,,,,,,
Dhar(F&V),0.5,Tonnes,NR,Lemon,1200,2000,1500,Rs/Quintal
Mandsaur(F&V),1.2,Tonnes,NR,Other,800,1000,900,Rs/Quintal
NCT of Delhi,,,,,,,,
Azadpur,148.5,Tonnes,NR,Other,3000,5000,4000,Rs/Quintal
Punjab,,,,,,,,
Barnala,0.3,Tonnes,NR,Other,2200,2400,2300,Rs/Quintal
Bassi Pathana,0.1,Tonnes,NR,Lemon,4000,4000,4000,Rs/Quintal
Firozepur City,0.1,Tonnes,NR,Other,2000,3800,2900,Rs/Quintal
Garh Shankar(Mahalpur),0.05,Tonnes,NR,Other,2800,3500,3300,Rs/Quintal
Khanna,0.2,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Nabha,3,Tonnes,NR,Other,2000,3000,2400,Rs/Quintal
Sirhind,0.1,Tonnes,NR,Other,3000,3000,3000,Rs/Quintal
Zira,0.1,Tonnes,NR,Lemon,1800,2200,2000,Rs/Quintal
Rajasthan,,,,,,,,
Alwar(FV),0.5,Tonnes,NR,Other,4200,4900,4550,Rs/Quintal
Chittorgarh,0.2,Tonnes,NR,Other,700,1000,850,Rs/Quintal
Chomu(F&V),1,Tonnes,NR,Other,3500,5000,4300,Rs/Quintal
Jaipur(F&V),12,Tonnes,NR,Lemon,2000,2800,2400,Rs/Quintal
Udaipur(F&V),1,Tonnes,NR,Other,1500,3000,2250,Rs/Quintal
Uttar Pradesh,,,,,,,,
Achnera,0.2,Tonnes,NR,Lemon,4200,4300,4250,Rs/Quintal
Aligarh,6,Tonnes,NR,Lemon,3450,3550,3500,Rs/Quintal
Bahraich,0.8,Tonnes,NR,Lemon,3100,3550,3325,Rs/Quintal
Ballia,3,Tonnes,NR,Lemon,2700,2800,2740,Rs/Quintal
Basti,0.3,Tonnes,NR,Lemon,2100,2180,2140,Rs/Quintal
Bijnaur,0.8,Tonnes,NR,Lemon,2420,2540,2480,Rs/Quintal
Devariya,8,Tonnes,NR,Lemon,2080,2125,2100,Rs/Quintal
Devband,0.2,Tonnes,NR,Lemon,2400,2600,2500,Rs/Quintal
Etawah,0.7,Tonnes,NR,Lemon,3400,3800,3600,Rs/Quintal
Faizabad,0.9,Tonnes,NR,Lemon,3500,3750,3600,Rs/Quintal
Fatehabad,18,Tonnes,NR,Lemon,1800,1850,1820,Rs/Quintal
Ghiraur,0.3,Tonnes,NR,Lemon,3600,3800,3700,Rs/Quintal
Golagokarnath,8,Tonnes,NR,Lemon,3150,3350,3270,Rs/Quintal
Gonda,1.2,Tonnes,NR,Lemon,4010,4050,4030,Rs/Quintal
Gorakhpur,17.5,Tonnes,NR,Lemon,2300,2410,2350,Rs/Quintal
Hardoi,1.2,Tonnes,NR,Lemon,5320,5350,5340,Rs/Quintal
Jafarganj,0.2,Tonnes,NR,Lemon,4600,4800,4700,Rs/Quintal
Jagnair,0.3,Tonnes,NR,Lemon,3200,3300,3250,Rs/Quintal
Jalaun,0.1,Tonnes,NR,Lemon,2360,2440,2400,Rs/Quintal
Jarar,0.2,Tonnes,NR,Lemon,1950,2050,2000,Rs/Quintal
Jhijhank,7,Tonnes,NR,Lemon,1600,1700,1650,Rs/Quintal
Karvi,0.4,Tonnes,NR,Lemon,2500,2620,2560,Rs/Quintal
Khairagarh,0.2,Tonnes,NR,Lemon,3200,3300,3250,Rs/Quintal
Konch,1,Tonnes,NR,Lemon,2400,2650,2550,Rs/Quintal
Kosikalan,1.1,Tonnes,NR,Lemon,3300,3500,3400,Rs/Quintal
Lucknow,32,Tonnes,NR,Lemon,3350,3600,3500,Rs/Quintal
Maharajganj,1,Tonnes,NR,Lemon,2800,2900,2850,Rs/Quintal
Mainpuri,0.8,Tonnes,NR,Lemon,3700,3850,3800,Rs/Quintal
Mathura,4,Tonnes,NR,Lemon,3500,3700,3600,Rs/Quintal
Muzzafarnagar,2,Tonnes,NR,Lemon,2600,2650,2625,Rs/Quintal
Naanpara,0.3,Tonnes,NR,Lemon,4000,4200,4100,Rs/Quintal
Nagina,0.01,Tonnes,NR,Lemon,2100,2200,2150,Rs/Quintal
Pilibhit,3,Tonnes,NR,Lemon,2880,2915,2895,Rs/Quintal
Puranpur,0.5,Tonnes,NR,Lemon,2830,2890,2860,Rs/Quintal
Ruperdeeha,3,Tonnes,NR,Lemon,NR,2500,2400,Rs/Quintal
Sitapur,9.5,Tonnes,NR,Lemon,2000,2200,2100,Rs/Quintal
Sultanpur,0.2,Tonnes,NR,Lemon,4100,4150,4130,Rs/Quintal
Thanabhawan,0.1,Tonnes,NR,Lemon,3000,3200,3100,Rs/Quintal
Tundla,0.8,Tonnes,NR,Lemon,3550,3800,3720,Rs/Quintal
Uttrakhand,,,,,,,,
Haldwani,6.9,Tonnes,NR,Other,556,756,656,Rs/Quintal
Kashipur,0.4,Tonnes,NR,Other,1300,1500,1400,Rs/Quintal
