"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Fruits,,,,,,,,
Amla(Nelli Kai),,,,,,,,
Gujarat,,,,,,,,
Ahmedabad,32.3,Tonnes,NR,Other,1000,2500,1800,Rs/Quintal
Ankleshwar,0.1,Tonnes,NR,Amla,2000,2900,2675,Rs/Quintal
Haryana,,,,,,,,
Jhajjar,0.5,Tonnes,NR,Other,700,2000,2000,Rs/Quintal
Kerala,,,,,,,,
Kondotty,0.25,Tonnes,NR,Other,3400,3600,3500,Rs/Quintal
Kottakkal,2,Tonnes,NR,Other,2750,2850,2800,Rs/Quintal
Nedumkandam,0.3,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Parappanangadi,0.5,Tonnes,NR,Other,2850,3150,2950,Rs/Quintal
Perinthalmanna,2.4,Tonnes,NR,Amla,2700,3300,3000,Rs/Quintal
Thirurrangadi,0.5,Tonnes,NR,Amla,2500,2950,2850,Rs/Quintal
Maharashtra,,,,,,,,
Chandrapur(Ganjwad),1,Tonnes,NR,Other,1500,2800,2000,Rs/Quintal
Punjab,,,,,,,,
Barnala,0.4,Tonnes,NR,Amla,1300,1850,1575,Rs/Quintal
Faridkot,0.04,Tonnes,NR,Amla,1500,2000,1500,Rs/Quintal
Nawan Shahar(Subzi Mandi),0.1,Tonnes,NR,Amla,2000,3000,2600,Rs/Quintal
Rajasthan,,,,,,,,
Chittorgarh,0.3,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Uttar Pradesh,,,,,,,,
Faizabad,0.3,Tonnes,NR,Amla,1330,1400,1350,Rs/Quintal
Jafarganj,0.4,Tonnes,NR,Amla,1150,1250,1200,Rs/Quintal
Jhijhank,2,Tonnes,NR,Amla,2250,2350,2300,Rs/Quintal
Unnao,4,Tonnes,NR,Amla,1750,1850,1800,Rs/Quintal
Apple,,,,,,,,
Chattisgarh,,,,,,,,
Durg,28,Tonnes,NR,Other,7000,9000,8000,Rs/Quintal
Gujarat,,,,,,,,
"Ahmedabad(Fruit Market, Naroda)",212.9,Tonnes,NR,Other,6500,8500,7600,Rs/Quintal
Ahmedabad(Manekchowk),0.1,Tonnes,NR,Other,6500,8500,7600,Rs/Quintal
Bharuch,8.36,Tonnes,NR,Royal Mishri,4000,5500,4500,Rs/Quintal
Gondal(Veg.market Gondal),62.68,Tonnes,NR,Apple,2500,5000,3750,Rs/Quintal
Vadodara(Navapura),10,Tonnes,NR,Other,7000,9000,8000,Rs/Quintal
Haryana,,,,,,,,
Ambala Cantt.,1,Tonnes,NR,Apple,4000,6000,5500,Rs/Quintal
Asandh,0.8,Tonnes,NR,Other,4200,5000,4800,Rs/Quintal
Barara,NR,Tonnes,NR,Apple,4000,4500,4000,Rs/Quintal
Barwala(Hisar),3,Tonnes,NR,Other,5000,5000,5000,Rs/Quintal
Cheeka,0.01,Tonnes,NR,Other,5000,5000,5000,Rs/Quintal
Faridabad,25,Tonnes,NR,Other,3000,5000,4000,Rs/Quintal
Ganaur,0.1,Tonnes,NR,Apple,8000,9000,8200,Rs/Quintal
Gurgaon,10.4,Tonnes,NR,Other,6000,10000,8000,Rs/Quintal
Hissar,25.5,Tonnes,NR,Other,3800,7500,5200,Rs/Quintal
Iamailabad,0.03,Tonnes,NR,Apple,6500,7500,7000,Rs/Quintal
Jagadhri,0.5,Tonnes,NR,Other,5500,6000,6000,Rs/Quintal
Jhajjar,2.3,Tonnes,NR,Other,3000,4500,4500,Rs/Quintal
Jind,5.7,Tonnes,NR,Other,4000,6000,5000,Rs/Quintal
kalanwali,0.6,Tonnes,NR,Other,3000,5000,4000,Rs/Quintal
Khanina,0.2,Tonnes,NR,Other,6000,6000,6000,Rs/Quintal
Ladwa,0.8,Tonnes,NR,Apple,6000,7000,6200,Rs/Quintal
Meham,1,Tonnes,NR,Apple,4000,5000,4500,Rs/Quintal
Mohindergarh,4.8,Tonnes,NR,Apple,4000,5000,5000,Rs/Quintal
Narnaul,0.8,Tonnes,NR,Other,3000,3500,3500,Rs/Quintal
Narnaund,0.3,Tonnes,NR,Other,4100,4500,4200,Rs/Quintal
Narwana,0.5,Tonnes,NR,Other,4500,5000,4750,Rs/Quintal
Panipat,8.3,Tonnes,NR,Other,4000,7000,6700,Rs/Quintal
Pataudi,1.1,Tonnes,NR,Other,4000,7000,5500,Rs/Quintal
Radaur,2,Tonnes,NR,Other,4000,4500,4200,Rs/Quintal
Ratia,0.6,Tonnes,NR,Other,4000,4000,4000,Rs/Quintal
Rewari,1,Tonnes,NR,Apple,4500,5900,5000,Rs/Quintal
Sadhaura,0.3,Tonnes,NR,Other,3500,4500,4000,Rs/Quintal
Sampla,1.1,Tonnes,NR,Other,6000,6000,6000,Rs/Quintal
Shahabad,1.5,Tonnes,NR,Apple,4500,5300,5000,Rs/Quintal
Shahzadpur,0.2,Tonnes,NR,Apple,4000,4000,4000,Rs/Quintal
Sirsa,9,Tonnes,NR,Other,3000,6000,4200,Rs/Quintal
Sonepat,5.2,Tonnes,NR,Other,4000,4500,4000,Rs/Quintal
Thanesar,16,Tonnes,NR,Other,2500,6000,4000,Rs/Quintal
Uklana,0.5,Tonnes,NR,Apple,4000,4500,4500,Rs/Quintal
Himachal Pradesh,,,,,,,,
Dhanotu (Mandi),0.1,Tonnes,NR,Other,6000,7000,6500,Rs/Quintal
Kangra,1,Tonnes,NR,Other,5000,7000,6000,Rs/Quintal
Kangra(Baijnath),0.1,Tonnes,NR,Kasmir/Shimla - II,5000,6000,5500,Rs/Quintal
Kangra(Jaisinghpur),0.05,Tonnes,NR,Apple,5000,6000,6000,Rs/Quintal
Kangra(Jassour),2,Tonnes,NR,Other,4500,5500,5000,Rs/Quintal
Mandi(Mandi),0.1,Tonnes,NR,Apple,2500,5000,4000,Rs/Quintal
Palampur,0.5,Tonnes,NR,Apple,5000,7000,6000,Rs/Quintal
Santoshgarh,0.4,Tonnes,NR,Other,3000,4500,3800,Rs/Quintal
Solan,0.82,Tonnes,NR,Apple,3500,9000,6000,Rs/Quintal
Solan(Nalagarh),0.2,Tonnes,NR,Other,3500,5500,5000,Rs/Quintal
Una,1.4,Tonnes,NR,Delicious,5000,8000,6500,Rs/Quintal
Jammu and Kashmir,,,,,,,,
Akhnoor,2,Tonnes,NR,Other,2000,2200,2100,Rs/Quintal
Narwal Jammu (F&V),144,Tonnes,NR,Delicious,4000,6000,5000,Rs/Quintal
Nowpora,880,Tonnes,NR,American,3080,3640,3360,Rs/Quintal
,,,NR,American,1400,1960,1680,Rs/Quintal
,,,NR,Delicious,2800,3360,3080,Rs/Quintal
,,,NR,Delicious,1120,1680,1400,Rs/Quintal
,,,NR,Maharaji,1680,2240,2016,Rs/Quintal
,,,NR,Maharaji,1120,1260,1176,Rs/Quintal
Samba,1.5,Tonnes,NR,Delicious,2000,3000,2500,Rs/Quintal
Karnataka,,,,,,,,
"Binny Mill (F&V), Bangalore",239,Tonnes,NR,Apple,7000,8000,7500,Rs/Quintal
Kerala,,,,,,,,
Aroor,0.2,Tonnes,NR,Other,11000,11300,11200,Rs/Quintal
Chala,2,Tonnes,NR,Other,9000,9150,9050,Rs/Quintal
,,,NR,Other,7000,7150,7050,Rs/Quintal
Kondotty,0.25,Tonnes,NR,Other,9000,9400,9200,Rs/Quintal
Kottakkal,0.9,Tonnes,NR,Other,8500,8600,8550,Rs/Quintal
Manjeri,7,Tonnes,NR,Other,7500,7600,7550,Rs/Quintal
Mukkom,0.7,Tonnes,NR,Other,9000,10000,9500,Rs/Quintal
Parappanangadi,0.3,Tonnes,NR,Other,9750,9950,9850,Rs/Quintal
Perinthalmanna,2.3,Tonnes,NR,Apple,11600,12400,12000,Rs/Quintal
Thirurrangadi,0.6,Tonnes,NR,Other,9950,10500,10000,Rs/Quintal
Thodupuzha,1,Tonnes,NR,Other,7000,8500,7500,Rs/Quintal
Vandiperiyar,1,Tonnes,NR,Other,8500,9000,8500,Rs/Quintal
Madhya Pradesh,,,,,,,,
Bhopal(F&V),27.5,Tonnes,NR,Other,2000,4000,3000,Rs/Quintal
Dhar(F&V),2.5,Tonnes,NR,Other,1500,3000,2500,Rs/Quintal
Ujjain(F&V),1.25,Tonnes,NR,Apple,3000,5200,4000,Rs/Quintal
Maharashtra,,,,,,,,
Amrawati(Frui & Veg. Market),43,Tonnes,NR,Simla,5000,6000,5500,Rs/Quintal
Aurangabad,40,Tonnes,NR,Other,4000,8000,6000,Rs/Quintal
Chandrapur(Ganjwad),5,Tonnes,NR,Other,5500,7000,6000,Rs/Quintal
Fruit Market,478,Tonnes,NR,Other,6000,9000,7500,Rs/Quintal
Kalyan,NR,Tonnes,NR,Other,8000,12000,10000,Rs/Quintal
Karad,2,Tonnes,NR,Simla,4330,6000,6000,Rs/Quintal
Kolhapur,4,Tonnes,NR,Other,2000,5000,3750,Rs/Quintal
Nagpur,40,Tonnes,NR,Simla,6000,8000,7500,Rs/Quintal
Nasik,36,Tonnes,NR,Simla,5000,8500,6000,Rs/Quintal
Pune,40,Tonnes,NR,Other,4000,14500,9000,Rs/Quintal
Rahuri,NR,Tonnes,NR,Other,6000,6000,6000,Rs/Quintal
"Sangli(Phale, Bhajipura Market)",23,Tonnes,NR,Other,3437,6875,5312,Rs/Quintal
Solapur,69,Tonnes,NR,Other,625,925,850,Rs/Quintal
NCT of Delhi,,,,,,,,
Azadpur,1829.6,Tonnes,NR,Kullu Royal Delicious,3125,6250,4375,Rs/Quintal
,,,NR,Royal Delicious,6000,11000,8000,Rs/Quintal
Odisha,,,,,,,,
Karanjia,0.08,Tonnes,NR,Other,9000,10000,9500,Rs/Quintal
,,,NR,Other,8000,9000,8500,Rs/Quintal
Punjab,,,,,,,,
Abohar,2,Tonnes,NR,Apple,2950,5700,3650,Rs/Quintal
Adampur,0.2,Tonnes,NR,Other,2500,3000,3000,Rs/Quintal
Amritsar(Amritsar Mewa Mandi),70,Tonnes,NR,Apple,1500,3500,2500,Rs/Quintal
Balachaur,0.18,Tonnes,NR,Other,5500,6000,5800,Rs/Quintal
Banga,1.5,Tonnes,NR,Other,1960,3050,3050,Rs/Quintal
Bariwala,0.04,Tonnes,NR,American,3000,3600,3500,Rs/Quintal
Barnala,2,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Bassi Pathana,0.5,Tonnes,NR,Apple,7000,7500,7200,Rs/Quintal
Batala,1.2,Tonnes,NR,Other,2200,3500,3200,Rs/Quintal
Bathinda,2.1,Tonnes,NR,Other,7000,12500,9000,Rs/Quintal
Bhawanigarh,0.5,Tonnes,NR,Other,2500,5000,3500,Rs/Quintal
Budalada,0.5,Tonnes,NR,Other,3000,6800,5100,Rs/Quintal
Chamkaur Sahib,1,Tonnes,NR,Apple,4200,4220,4210,Rs/Quintal
Dasuya,0.8,Tonnes,NR,Kasmir/Shimla - II,3500,4000,4000,Rs/Quintal
