"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Oil Seeds,,,,,,,,
Castor Seed,,,,,,,,
Gujarat,,,,,,,,
Amreli,2.3,Tonnes,NR,Other,4725,4850,4850,Rs/Quintal
Bachau,10,Tonnes,NR,Castor seed,5075,5150,5100,Rs/Quintal
Botad,0.4,Tonnes,NR,Other,4500,4550,4525,Rs/Quintal
Dahod,1.3,Tonnes,NR,Castor seed,4500,4650,4600,Rs/Quintal
,,,NR,Other,4300,4400,4350,Rs/Quintal
Dasada Patadi,51.8,Tonnes,NR,Castor seed,5015,5025,5020,Rs/Quintal
Deesa,47,Tonnes,NR,Other,5000,5026,5025,Rs/Quintal
Deesa(Bhildi),12.3,Tonnes,NR,Other,4960,5065,5050,Rs/Quintal
Dehgam,4.4,Tonnes,NR,Other,4975,4980,4977,Rs/Quintal
Dehgam(Rekhiyal),0.1,Tonnes,NR,Other,4600,4850,4725,Rs/Quintal
Dhanera,39,Tonnes,NR,Other,5000,5100,5050,Rs/Quintal
Dhansura,1,Tonnes,NR,Castor seed,4750,4900,4850,Rs/Quintal
Dhoraji,0.5,Tonnes,NR,Castor seed,4305,4780,4730,Rs/Quintal
Gondal,6.3,Tonnes,NR,Castor seed,4505,4855,4780,Rs/Quintal
Halvad,33.64,Tonnes,NR,Other,4750,5060,4900,Rs/Quintal
Himatnagar,1.5,Tonnes,NR,Castor seed,4800,5000,4900,Rs/Quintal
Jam Jodhpur,13.8,Tonnes,NR,Castor seed,4650,5050,4850,Rs/Quintal
Jambusar,0.1,Tonnes,NR,Other,3400,4200,3800,Rs/Quintal
Jambusar(Kaavi),1,Tonnes,NR,Other,3600,4000,3800,Rs/Quintal
Jamnagar,2.2,Tonnes,NR,Other,4000,4865,4433,Rs/Quintal
Jasdan,0.3,Tonnes,NR,Castor seed,3250,3950,3625,Rs/Quintal
