Commodity-wise- Market-wise Daily-Report-on -01-01-2019,,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Other,,,,,,,,
Bunch Beans,,,,,,,,
Karnataka,,,,,,,,
"Binny Mill (F&V), Bangalore",4,Nos,NR,Bunch Beans,1600,2200,1800,Rs/Number
Hospet,2,Nos,NR,Bunch Beans,1200,1600,1400,Rs/Number
Dhaincha,,,,,,,,
Rajasthan,,,,,,,,
Alwar,0.4,Tonnes,NR,Other,3500,3600,3550,Rs/Quintal
Bharatpur,3.9,Tonnes,NR,Other,3500,3560,3530,Rs/Quintal
Hindoun,0.7,Tonnes,NR,Other,3521,3521,3521,Rs/Quintal
Kherli,9.8,Tonnes,NR,Other,3500,3740,3660,Rs/Quintal
Mahua Mandabar(Mahua),3.1,Tonnes,NR,Other,3530,3596,3563,Rs/Quintal
Nadwai,2.6,Tonnes,NR,Other,3550,3600,3590,Rs/Quintal
Dry Fodder,,,,,,,,
Haryana,,,,,,,,
Ambala Cantt.,3.3,Tonnes,NR,Dry Fodder,500,520,520,Rs/Quintal
Green Fodder,,,,,,,,
Haryana,,,,,,,,
,13.9,,NR,Green Fodder,180,250,225,Rs/Quintal
Punjab,,,,,,,,
Hoshiarpur(Chara Mandi),19,Tonnes,NR,Other,230,250,240,Rs/Quintal
Gur(Jaggery),,,,,,,,
Assam,,,,,,,,
Goalpara,10,Tonnes,NR,Yellow,2800,3000,2950,Rs/Quintal
Nalbari,15.5,Tonnes,NR,Red,3300,3500,3400,Rs/Quintal
Gujarat,,,,,,,,
Vadodara,34.17,Tonnes,NR,Other,3500,4500,4500,Rs/Quintal
Jharkhand,,,,,,,,
Khunti,NR,Tonnes,NR,Other,3450,3850,3650,Rs/Quintal
Karnataka,,,,,,,,
Athani,5,Tonnes,NR,Nizamabad,2800,3200,3200,Rs/Quintal
Bangalore,44,Tonnes,NR,Mudde,4100,4200,4150,Rs/Quintal
Bangarpet,10,Tonnes,NR,Unde,3000,3800,3200,Rs/Quintal
Bhadravathi,48,Tonnes,NR,Unde,2300,3250,2500,Rs/Quintal
Bijapur,5,Tonnes,NR,Achhu,2590,2590,2590,Rs/Quintal
Chamaraj Nagar,1,Tonnes,NR,Achhu,3250,3250,3250,Rs/Quintal
Gokak,2,Tonnes,NR,Nizamabad,2564,2564,2564,Rs/Quintal
Gulbarga,11,Tonnes,NR,Other,2850,3420,3220,Rs/Quintal
Kolar,1,Tonnes,NR,Other,2500,2700,2600,Rs/Quintal
Mandya,45,Tonnes,NR,Achhu,2750,3000,2850,Rs/Quintal
,,,NR,Kurikatu,2500,2800,2650,Rs/Quintal
,,,NR,Other,2600,2920,2750,Rs/Quintal
,,,NR,Yellow,2750,2930,2850,Rs/Quintal
Mhalingapur,35,Tonnes,NR,Nizamabad,2300,3255,3011,Rs/Quintal
Mysore (Bandipalya),7,Tonnes,NR,Other,4000,4500,4250,Rs/Quintal
Pandavapura,3,Tonnes,NR,Kurikatu,2850,2850,2850,Rs/Quintal
Shimoga,NR,Tonnes,NR,Achhu,3100,3300,3200,Rs/Quintal
Madhya Pradesh,,,,,,,,
Mandla,4.18,Tonnes,NR,Achhu,2100,2200,2200,Rs/Quintal
Sevda,50,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Maharashtra,,,,,,,,
Jalana,43,Tonnes,NR,Red,2075,2293,2130,Rs/Quintal
Jalgaon,61,Tonnes,NR,Other,2311,3151,2775,Rs/Quintal
Karad,62,Tonnes,NR,Other,2500,4200,3000,Rs/Quintal
Mumbai,68,Tonnes,NR,Other,2800,3900,3800,Rs/Quintal
Nira,5,Tonnes,NR,Other,3300,3400,3350,Rs/Quintal
Sangli,486,Tonnes,NR,Other,2800,3680,3240,Rs/Quintal
Solapur,6,Tonnes,NR,Yellow,2400,2890,2600,Rs/Quintal
Tumsar,113,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Odisha,,,,,,,,
Sarankul,5,Tonnes,NR,Other,3400,3600,3500,Rs/Quintal
Rajasthan,,,,,,,,
Jaipur (Grain),109.7,Tonnes,NR,Other,3200,3400,3300,Rs/Quintal
Jaipur(Grain)(Chandpole),5.32,Tonnes,NR,Other,3200,3400,3300,Rs/Quintal
Tripura,,,,,,,,
Pabiacherra,0.2,Tonnes,NR,Yellow,5050,5250,5125,Rs/Quintal
Uttar Pradesh,,,,,,,,
Achnera,0.8,Tonnes,NR,Pathari,2700,2740,2720,Rs/Quintal
