"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Spices,,,,,,,,
Ajwan,,,,,,,,
Gujarat,,,,,,,,
Dhanera,0.2,Tonnes,NR,Other,7350,7350,7350,Rs/Quintal
Jamnagar,69.5,Tonnes,NR,Other,10000,27800,18900,Rs/Quintal
Unjha,1.8,Tonnes,NR,Ajwan,8750,9855,9550,Rs/Quintal
Madhya Pradesh,,,,,,,,
Jaora,0.7,Tonnes,NR,Ajwan,9500,12500,10500,Rs/Quintal
Neemuch,47,Tonnes,NR,Ajwan,5500,12650,10054,Rs/Quintal
Pohari,12.1,Tonnes,NR,Ajwan,8650,11190,10225,Rs/Quintal
Maharashtra,,,,,,,,
Amalner,NR,Tonnes,NR,Other,12300,13251,13251,Rs/Quintal
Shegaon,NR,Tonnes,NR,Other,12000,12000,12000,Rs/Quintal
Rajasthan,,,,,,,,
Bhilwara,1.7,Tonnes,NR,Other,10500,11700,11100,Rs/Quintal
Nimbahera,3,Tonnes,NR,Other,940,1113,1050,Rs/Quintal
Pratapgarh,16,Tonnes,NR,Other,9400,15900,12650,Rs/Quintal
Ramaganj Mandi,21.3,Tonnes,NR,Ajwan,4000,12000,11600,Rs/Quintal
Black pepper,,,,,,,,
Gujarat,,,,,,,,
Vadodara,0.6,Tonnes,NR,Other,35000,40000,40000,Rs/Quintal
Karnataka,,,,,,,,
Belthangdi,3,Tonnes,NR,Other,32000,32000,32000,Rs/Quintal
Chikkamagalore,2,Tonnes,NR,Other,33028,33028,33028,Rs/Quintal
Gonikappal,45,Tonnes,NR,Malabar,30000,30000,30000,Rs/Quintal
Koppa,3,Tonnes,NR,Malabar,33400,33400,33400,Rs/Quintal
Mangalore,1,Tonnes,NR,Malabar,22000,34000,30000,Rs/Quintal
Moodigere,8,Tonnes,NR,Other,27000,30000,27895,Rs/Quintal
Sakaleshpura,2,Tonnes,NR,Malabar,33370,33370,33370,Rs/Quintal
Siddapur,NR,Tonnes,NR,Malabar,29669,33219,33219,Rs/Quintal
Sirsi,NR,Tonnes,NR,Malabar,31809,34358,33350,Rs/Quintal
,,,NR,Other,36899,50474,43824,Rs/Quintal
Somvarpet,2,Tonnes,NR,Malabar,29000,29000,29000,Rs/Quintal
Yellapur,1,Tonnes,NR,Other,31890,33890,32374,Rs/Quintal
Kerala,,,,,,,,
Angamaly,0.1,Tonnes,NR,Ungrabled,36000,38000,37000,Rs/Quintal
Irikkur,0.04,Tonnes,NR,Other,32000,32000,32000,Rs/Quintal
Kanjangadu,1,Tonnes,NR,Other,27800,28200,28000,Rs/Quintal
Kannur,2,Tonnes,NR,Other,30000,31000,30500,Rs/Quintal
Kattappana,2.1,Tonnes,NR,Ungrabled,36200,36200,36200,Rs/Quintal
Kuthuparambu,2.9,Tonnes,NR,Other,30000,34000,33000,Rs/Quintal
Payyannur,0.34,Tonnes,NR,Other,31000,33000,32000,Rs/Quintal
Perumbavoor,0.3,Tonnes,NR,Garbled,35000,37000,36000,Rs/Quintal
Taliparamba,0.7,Tonnes,NR,Other,32000,32200,32100,Rs/Quintal
Thalasserry,0.05,Tonnes,NR,Other,32450,32700,32600,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Garbled,35500,36500,36000,Rs/Quintal
,,,NR,Ungrabled,32500,33500,33000,Rs/Quintal
Cardamoms,,,,,,,,
Kerala,,,,,,,,
Kattappana,2.7,Tonnes,NR,Other,125000,135000,130000,Rs/Quintal
