<<<<<<< vb-demo-using-git
"Commodity-wise, Market-wise Daily Report on : 01/01/2019 NR : Not Reported",,,,,,,,
,,,,,,,,
Market Center,Arrivals(in tonnes),Unit of Arrivals,Origin,Variety,Minimum Prices(in Rs/quintals),Maximum Prices(in Rs/quintals),Modal Prices(in Rs/quintals),Unit of Price
Vegetables,,,,,,,,
Alsandikai,,,,,,,,
Karnataka,,,,,,,,
"Binny Mill (F&V), Bangalore",2,Tonnes,NR,Alsandikai,2000,2600,2300,Rs/Quintal
Amaranthus,,,,,,,,
Gujarat,,,,,,,,
Ahmedabad(Rajnagar sub yard),0.6,Tonnes,NR,Other,1000,2000,1600,Rs/Quintal
Kerala,,,,,,,,
Aluva,0.7,Tonnes,NR,Amaranthus,2000,3000,2500,Rs/Quintal
Angamaly,0.2,Tonnes,NR,Amaranthus,2000,2600,2300,Rs/Quintal
Chala,3,Tonnes,NR,Amaranthus,3700,3751,3728,Rs/Quintal
Chalakudy,1,Tonnes,NR,Other,1600,1800,1700,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Amaranthus,1600,2300,2000,Rs/Quintal
Harippad,0.5,Tonnes,NR,Other,2000,2500,2500,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Amaranthus,2200,2600,2400,Rs/Quintal
Kanjangadu,0.25,Tonnes,NR,Other,3000,4000,3500,Rs/Quintal
Kayamkulam,1,Tonnes,NR,Other,2100,2300,2200,Rs/Quintal
Koduvayoor,0.14,Tonnes,NR,Other,3400,4200,3800,Rs/Quintal
Kondotty,0.2,Tonnes,NR,Other,2000,2200,2100,Rs/Quintal
Kothamangalam,1,Tonnes,NR,Other,2500,3000,2600,Rs/Quintal
Kottakkal,0.9,Tonnes,NR,Other,1600,1700,1650,Rs/Quintal
Kuttoor,1,Tonnes,NR,Amaranthus,2200,2400,2300,Rs/Quintal
Madhavapuram,2,Tonnes,NR,Other,2400,2600,2500,Rs/Quintal
Manjeri,3,Tonnes,NR,Other,1000,1100,1050,Rs/Quintal
Manjeswaram,3,Tonnes,NR,Amaranthus,3200,4000,3600,Rs/Quintal
Mukkom,0.5,Tonnes,NR,Amaranthus,1200,1600,1400,Rs/Quintal
Neeleswaram,0.8,Tonnes,NR,Other,2000,3000,2500,Rs/Quintal
Neyyatinkara,0.2,Tonnes,NR,Amaranthus,4600,5000,4800,Rs/Quintal
Palakkad,1,Tonnes,NR,Amaranthus,1600,2200,2000,Rs/Quintal
,,,NR,Other,1600,2200,2000,Rs/Quintal
Palayam,5,Tonnes,NR,Other,1700,1900,1800,Rs/Quintal
Pampady,1,Tonnes,NR,Amaranthus,3000,3500,3200,Rs/Quintal
Pandalam,0.1,Tonnes,NR,Amaranthus,2500,3000,2500,Rs/Quintal
Parappanangadi,0.5,Tonnes,NR,Other,1500,1850,1650,Rs/Quintal
Parassala,2,Tonnes,NR,Amaranthus,4800,5000,4800,Rs/Quintal
Pattambi,0.2,Tonnes,NR,Other,1800,2000,1900,Rs/Quintal
Payyannur,0.53,Tonnes,NR,Other,2900,3100,3000,Rs/Quintal
Perumbavoor,2,Tonnes,NR,Amaranthus,1800,2800,2000,Rs/Quintal
Pulpally,0.1,Tonnes,NR,Other,1400,1600,1500,Rs/Quintal
Quilandy,0.08,Tonnes,NR,Other,2400,2500,2500,Rs/Quintal
Thalayolaparambu,0.8,Tonnes,NR,Amaranthus,2000,2400,2300,Rs/Quintal
Thamarassery,0.02,Tonnes,NR,Other,1700,2700,2000,Rs/Quintal
Thirurrangadi,0.1,Tonnes,NR,Other,1500,1500,1500,Rs/Quintal
Thodupuzha,0.5,Tonnes,NR,Other,1800,2000,2000,Rs/Quintal
Vadakkenchery,0.07,Tonnes,NR,Other,2000,2500,2250,Rs/Quintal
Rajasthan,,,,,,,,
Chittorgarh,0.1,Tonnes,NR,Other,2800,3000,2900,Rs/Quintal
Ashgourd,,,,,,,,
Karnataka,,,,,,,,
Mysore (Bandipalya),8,Tonnes,NR,Ashgourd,800,1200,1000,Rs/Quintal
Kerala,,,,,,,,
Aluva,2,Tonnes,NR,Ashgourd,800,1600,1200,Rs/Quintal
Angamaly,0.2,Tonnes,NR,Ashgourd,1200,1800,1500,Rs/Quintal
Aroor,NR,Tonnes,NR,Other,800,1000,900,Rs/Quintal
Athirampuzha,0.3,Tonnes,NR,Ashgourd,800,1000,900,Rs/Quintal
Chala,3,Tonnes,NR,Other,1800,1854,1823,Rs/Quintal
Chalakudy,2,Tonnes,NR,Other,1000,1200,1100,Rs/Quintal
Chengannur,1.2,Tonnes,NR,Other,1100,1400,1200,Rs/Quintal
Cherthala,0.5,Tonnes,NR,Other,1550,1650,1600,Rs/Quintal
Ernakulam,0.35,Tonnes,NR,Ashgourd,1000,1500,1200,Rs/Quintal
Ettumanoor,0.7,Tonnes,NR,Other,1200,1300,1300,Rs/Quintal
Harippad,1,Tonnes,NR,Other,1500,1800,1500,Rs/Quintal
Kallachi,0.4,Tonnes,NR,Ashgourd,1400,1800,1600,Rs/Quintal
Kanjangadu,0.6,Tonnes,NR,Ashgourd,1800,2200,2000,Rs/Quintal
Kayamkulam,1,Tonnes,NR,Other,600,800,700,Rs/Quintal
Koduvayoor,4,Tonnes,NR,Other,1400,1800,1600,Rs/Quintal
Kollam,0.2,Tonnes,NR,Other,1100,1500,1300,Rs/Quintal
Kondotty,0.2,Tonnes,NR,Other,1200,1400,1300,Rs/Quintal
Koovapadi,0.55,Tonnes,NR,Ashgourd,800,1000,900,Rs/Quintal
Kothamangalam,1,Tonnes,NR,Other,1000,1500,1200,Rs/Quintal
Kottakkal,2,Tonnes,NR,Other,1350,1430,1400,Rs/Quintal
Kuruppanthura,3,Tonnes,NR,Ashgourd,1300,2000,1600,Rs/Quintal
Kuttoor,1.5,Tonnes,NR,Ashgourd,1600,2000,1800,Rs/Quintal
Madhavapuram,2.3,Tonnes,NR,Other,1700,2000,1800,Rs/Quintal
Manjeri,4,Tonnes,NR,Other,700,800,750,Rs/Quintal
Manjeswaram,25,Tonnes,NR,Ashgourd,2000,3000,2500,Rs/Quintal
Moovattupuzha,3,Tonnes,NR,Other,1100,1350,1200,Rs/Quintal
Mukkom,0.5,Tonnes,NR,Other,800,1200,1000,Rs/Quintal
Palakkad,1,Tonnes,NR,Ashgourd,800,1200,1100,Rs/Quintal
Palayam,20,Tonnes,NR,Other,900,1100,1000,Rs/Quintal
Pampady,1,Tonnes,NR,Other,2000,2400,2200,Rs/Quintal
Parappanangadi,0.5,Tonnes,NR,Other,1500,1800,1650,Rs/Quintal
Parassala,3,Tonnes,NR,Ashgourd,1800,2000,1800,Rs/Quintal
